;Russia GPR index;State-Controlled Russia GPR index;Independent Russia GPR index;Anglosphere GPR index;Ukraine GPR index;Germany GPR index;United Kingdom GPR index;United States GPR index;Anglosphere sanctions intensity index;Russia sancions intensity index
01. Jul 06;12.34;12.2;13.66;5.67;7.73;2.88;4.13;6.27;0.33;0.2
01. Aug 06;11.41;11.37;11.85;6.13;7.96;3.25;5.19;6.6;0.2;0.13
01. Sep 06;9.72;9.69;10.08;4.87;7.28;2.14;3.53;5.58;0.26;0.28
01. Okt 06;10.19;10.25;9.41;5.25;6.77;2.38;3.97;6;0.48;0.52
01. Nov 06;9.11;9.14;8.68;3.76;4.54;2.37;3;4.31;0.18;0.32
01. Dez 06;9.69;9.69;9.7;4.11;5.22;2.13;3.23;4.76;0.21;0.32
01. Jan 07;11.26;11.34;10.39;4.43;4.98;2.08;3.09;5.18;0.18;0.71
01. Feb 07;11.41;11.46;10.85;4.31;6.04;2.27;3.26;4.96;0.28;0.11
01. Mrz 07;9.21;9.02;11.32;3.69;5.63;2.35;2.97;4.18;0.18;0.15
01. Apr 07;10.85;10.65;12.89;3.62;4.37;2.33;3.1;3.9;0.11;0.3
01. Mai 07;10.12;9.95;11.97;3.82;4.99;2.13;3.25;4.22;0.18;0.35
01. Jun 07;10.66;10.57;12.1;3.99;5.75;1.79;3.42;4.48;0.14;0.1
01. Jul 07;9.47;9.42;10.34;4.51;5.44;2.62;3.79;4.97;0.15;0.42
01. Aug 07;9.46;9.36;11.16;3.43;4.87;1.91;2.7;3.84;0.13;0.22
01. Sep 07;9.18;9.26;7.76;4.06;5.71;2.69;3.02;4.7;0.28;0.15
01. Okt 07;8.96;8.78;11.92;3.64;6.01;2.69;2.87;4.05;0.25;0.2
01. Nov 07;9.83;9.72;11.66;3.35;5.57;2.04;2.69;3.85;0.18;0.2
01. Dez 07;8.75;8.84;7.33;3.41;4.79;1.89;2.95;3.76;0.22;0.15
01. Jan 08;9.4;9.3;10.9;3.03;4.78;1.89;1.81;3.66;0.15;0.09
01. Feb 08;9.36;9.36;9.48;3.45;5.27;1.87;2.89;3.76;0.11;0.19
01. Mrz 08;9.39;9.25;11.52;3.64;6;1.97;2.92;4.06;0.16;0.3
01. Apr 08;9.13;9.05;10.52;2.93;5.34;1.66;2.34;3.31;0.13;0.28
01. Mai 08;9.01;8.83;11.84;2.93;5.47;1.72;2.32;3.35;0.11;0.26
01. Jun 08;8.2;8.11;9.57;3.66;6.26;2.14;3.08;4.07;0.28;0.21
01. Jul 08;8.9;8.79;10.76;3.93;5.3;2.04;2.94;4.47;0.3;0.26
01. Aug 08;15.37;14.14;37.11;4.11;11.4;2.29;3.55;4.59;0.26;0.54
01. Sep 08;12.17;11.98;16.13;3.23;6.67;2.29;2.47;3.66;0.18;0.8
01. Okt 08;9.12;9.07;9.97;2.74;4.98;1.64;2.97;2.78;0.12;0.26
01. Nov 08;10.17;10.02;12.52;3.27;5.23;1.72;3.27;3.34;0.15;0.22
01. Dez 08;10.01;10.02;9.76;3.55;5.53;1.96;3.2;3.77;0.09;0.18
01. Jan 09;10.28;9.82;14.98;3.65;5.18;2.54;3.92;3.59;0.15;0.26
01. Feb 09;10.67;10.62;11.13;2.64;4.35;1.97;2.45;2.78;0.13;0.27
01. Mrz 09;10.34;9.98;14.14;2.91;3.44;1.94;2.97;2.93;0.1;0.37
01. Apr 09;10.26;10.05;12.61;3.35;4.55;2.49;2.82;3.68;0.21;0.23
01. Mai 09;10.41;10.06;14.26;3.47;4.48;2.16;3.14;3.74;0.22;0.22
01. Jun 09;10.8;10.53;13.62;3.19;4.12;1.98;2.62;3.67;0.25;0.24
01. Jul 09;10.13;9.9;12.48;3.23;4.63;2.11;2.54;3.71;0.23;0.27
01. Aug 09;10.99;10.78;12.98;3.3;5.07;1.9;3.07;3.58;0.23;0.11
01. Sep 09;10.52;10.42;11.93;4.07;5.55;1.9;4.17;4.38;0.39;0.17
01. Okt 09;9.47;9.53;8.69;3.62;5.14;1.93;3.1;4.03;0.19;0.22
01. Nov 09;9.18;9.09;10.35;3.2;3.77;2.03;3.2;3.41;0.21;0.12
01. Dez 09;10.4;10.19;14.35;3.53;3.65;1.78;3.13;3.98;0.25;0.14
01. Jan 10;8.8;8.49;12.27;3.77;3.48;2.13;3.44;4.13;0.21;0.2
01. Feb 10;10.02;9.87;12.01;3.34;3.49;2.33;3.34;3.72;0.31;0.17
01. Mrz 10;10.2;10.04;12.54;2.65;4.53;1.75;1.99;3.14;0.23;0.25
01. Apr 10;12.5;12.1;18.45;3.06;7.24;2.47;2.6;3.56;0.23;0.33
01. Mai 10;11.76;11.68;13;3.46;6.01;1.75;2.5;4.16;0.35;0.19
01. Jun 10;10.17;9.86;14.19;3.84;5.03;2.19;3.21;4.33;0.31;0.26
01. Jul 10;9.04;8.89;10.68;3.03;4.19;1.69;2.98;3.31;0.22;0.2
01. Aug 10;10.15;10.06;11.18;3.3;4.58;2.05;2.72;3.74;0.21;0.22
01. Sep 10;8.43;8.05;13.01;3.05;4.35;1.77;2.87;3.35;0.22;0.28
01. Okt 10;9;8.78;11.67;2.8;3.9;1.67;2.88;3.06;0.12;0.29
01. Nov 10;10.32;9.97;14.54;3.51;3.9;2.03;3.41;3.86;0.21;0.26
01. Dez 10;10.15;9.86;13.66;3.5;3.79;1.57;3.37;3.75;0.16;0.38
01. Jan 11;11.09;10.64;14.94;3.11;4.95;1.67;2.75;3.39;0.24;0.71
01. Feb 11;11.4;10.97;16.32;3.22;5.13;2.44;2.92;3.53;0.13;0.43
01. Mrz 11;13.4;12.48;23.89;4.81;9.69;5.1;4.59;5.08;0.18;0.51
01. Apr 11;11.47;10.96;17.43;3.56;6.68;3.33;3.46;3.82;0.13;0.36
01. Mai 11;10.32;9.99;13.75;4.19;8.66;2.87;3.44;4.6;0.23;0.24
01. Jun 11;10.01;9.24;17.31;3.39;6.1;2.4;3.29;3.65;0.12;0.38
01. Jul 11;9.07;8.78;11.44;2.98;5.13;2.09;3;3.14;0.06;0.29
01. Aug 11;11.19;10.58;17.04;3.26;6.43;2.82;3.12;3.47;0.18;0.22
01. Sep 11;9.06;8.84;11.23;3.56;5.19;2.04;3.19;3.81;0.15;0.22
01. Okt 11;9.1;8.74;12.59;3.15;5.14;2.04;3.17;3.25;0.22;0.21
01. Nov 11;10.13;9.84;12.88;3.51;6.23;2.46;3.17;3.75;0.53;0.24
01. Dez 11;8.95;8.63;11.82;3.66;3.95;2.17;3.48;4.04;0.41;0.33
01. Jan 12;9.72;9;15.67;3.53;5.34;2.39;2.81;3.98;0.56;0.31
01. Feb 12;9.97;9.53;13.67;3.83;3.79;2.32;4.09;3.94;0.52;0.16
01. Mrz 12;9.24;8.79;13.16;3.89;3.7;2.28;3.28;4.23;0.53;0.33
01. Apr 12;8.72;8.42;11.31;4;3.84;2.84;3.44;4.38;0.37;0.18
01. Mai 12;9.41;9.04;12.76;3.66;4.41;1.78;3.18;4.02;0.3;0.24
01. Jun 12;10.2;9.69;14.24;3.5;3.08;2.01;3.34;3.72;0.27;0.4
01. Jul 12;9.47;8.93;14.11;3.68;3.92;2.41;3.13;3.99;0.35;0.24
01. Aug 12;9.01;8.65;11.84;3.31;3.56;2.23;2.67;3.59;0.32;0.16
01. Sep 12;9.12;8.67;12.81;3.55;3.36;2.07;2.3;4;0.26;0.24
01. Okt 12;9.85;9.4;13.56;3.79;3.27;2.02;2.97;4.26;0.48;0.23
01. Nov 12;9.94;9.38;14.44;3.79;4.32;1.98;3.22;4.17;0.18;0.3
01. Dez 12;10.18;9.76;13.42;3.5;4.77;1.98;2.7;3.88;0.22;0.4
01. Jan 13;10.55;9.78;15.86;4.21;4.92;2.24;3.82;4.53;0.18;0.26
01. Feb 13;10.3;9.6;15.79;3.88;3.86;2.46;2.82;4.37;0.25;0.23
01. Mrz 13;9.18;8.68;12.8;3.66;3.4;2.19;3.16;3.96;0.25;0.24
01. Apr 13;9.53;9.11;13.03;4.63;4.02;2.04;3.53;5.06;0.37;0.35
01. Mai 13;9.68;9.2;13.59;4.14;5.67;2;3.36;4.59;0.22;0.21
01. Jun 13;9.12;8.8;11.76;3.62;4.27;1.87;2.97;3.96;0.34;0.28
01. Jul 13;8.42;7.81;13.58;2.99;4.3;2.13;2.94;3.13;0.15;0.26
01. Aug 13;9.93;9.63;12.37;3.78;6;2.22;3.61;3.96;0.16;0.24
01. Sep 13;11.77;10.97;18.5;4.49;6.96;2.29;3.76;4.82;0.37;0.25
01. Okt 13;9.51;9.4;10.65;3.39;3.67;1.68;3.27;3.55;0.25;0.27
01. Nov 13;9.3;9.18;10.29;3.97;4.61;2.01;3.19;4.26;0.6;0.36
01. Dez 13;10.13;9.99;11.38;3.55;4.4;1.87;2.62;3.94;0.38;0.48
01. Jan 14;11;10.45;15.04;3.7;7.55;1.96;2.98;4.02;0.27;0.37
01. Feb 14;11.18;10.77;14.77;3.56;7.5;1.87;2.37;3.98;0.3;0.31
01. Mrz 14;16.29;14.92;27.04;5.68;16.24;3.33;4.02;6.09;1.76;4.23
01. Apr 14;14.99;14.12;22.82;4.43;13.94;2.84;2.89;5.05;0.98;3.11
01. Mai 14;14.46;13.56;22.91;4.07;14.3;2.56;2.79;4.53;0.7;3.24
01. Jun 14;13.95;13.19;20.29;4.75;19.1;2.89;3.39;5.3;0.51;1.99
01. Jul 14;16.84;15.3;30.73;6.03;24.95;3.66;4.81;6.59;1.09;3.4
01. Aug 14;18.47;16.94;31.8;5.76;23.37;3.94;5.18;6.07;0.86;4.54
01. Sep 14;17.55;15.94;30.59;5.28;21.69;3.53;4.14;5.72;0.76;4.27
01. Okt 14;15.37;14.39;23.8;3.93;15.25;2.16;3.87;4.01;0.35;3.41
01. Nov 14;14.33;13.32;23.02;3.96;18.68;2.32;3.56;4.21;0.57;3.6
01. Dez 14;14.66;13.8;21.95;4.32;14.6;2.26;3.51;4.66;1.15;3.34
01. Jan 15;16.9;15.13;29.47;4.99;29.3;2.55;3.76;5.45;0.76;3.07
01. Feb 15;17.89;15.6;38.24;4.87;26.4;3.25;3.67;5.29;0.69;3.38
01. Mrz 15;14.82;13.27;27.33;4.38;21.78;2.84;3;4.96;0.71;2.46
01. Apr 15;15.09;13.36;28.31;4.81;18.36;2.44;3.09;5.46;0.92;1.73
01. Mai 15;15.17;13.98;25.27;4.05;18.48;2.28;2.83;4.55;0.4;1.77
01. Jun 15;13.87;12.16;29.15;3.78;18.52;2.12;2.96;4.21;0.59;2.92
01. Jul 15;13.99;12.74;24.63;5.05;14.68;2.14;3.6;5.71;0.87;1.68
01. Aug 15;13.97;12.49;24.83;4.22;19.9;2.25;3.11;4.69;0.59;2.12
01. Sep 15;13.65;12.33;25;4.05;17.85;2.24;3.7;4.33;0.55;1.52
01. Okt 15;15.86;14.09;30.76;3.82;15.92;2.11;3.45;4.1;0.34;1.48
